,M,t,x,u_actual,u_pred
5741,4.5,0.05,0.85,0.0,0.08307947
5742,4.5,0.05,0.86,0.0,0.08326042
5743,4.5,0.05,0.87,0.0,0.08343554
5744,4.5,0.05,0.88,0.0,0.08360503
5745,4.5,0.05,0.89,0.0,0.083768986
5746,4.5,0.05,0.9,0.0,0.083927624
5747,4.5,0.05,0.91,0.0,0.08408109
5748,4.5,0.05,0.92,0.0,0.08422951
5749,4.5,0.05,0.93,0.0,0.08437305
5750,4.5,0.05,0.94,0.0,0.084511794
5751,4.5,0.05,0.95,0.0,0.08464596
5752,4.5,0.05,0.96,0.0,0.08477561
5753,4.5,0.05,0.97,0.0,0.08490093
5754,4.5,0.05,0.98,0.0,0.085022
5755,4.5,0.05,0.99,0.0,0.085139
5756,4.5,0.05,1.0,0.0,0.08525196
5758,4.5,0.06,0.01,0.8015708,0.49786317
5759,4.5,0.06,0.02,0.7106405,0.68394494
5760,4.5,0.06,0.03,0.6499785,0.721902
5761,4.5,0.06,0.04,0.6037140999999999,0.7025017
5762,4.5,0.06,0.05,0.5657493,0.6813377
5763,4.5,0.06,0.06,0.5330590999999999,0.65663254
5764,4.5,0.06,0.07,0.5038872,0.62832135
5765,4.5,0.06,0.08,0.47708100000000003,0.5966127
5766,4.5,0.06,0.09,0.4517865,0.5615264
5767,4.5,0.06,0.1,0.42726959999999997,0.5232512
5768,4.5,0.06,0.11,0.0,0.48221764
5769,4.5,0.06,0.12,0.0,0.43914384
5770,4.5,0.06,0.13,0.0,0.39503688
5771,4.5,0.06,0.14,0.0,0.3511265
5772,4.5,0.06,0.15,0.0,0.30873254
5773,4.5,0.06,0.16,0.0,0.26908937
5774,4.5,0.06,0.17,0.0,0.23317644
5775,4.5,0.06,0.18,0.0,0.20160301
5776,4.5,0.06,0.19,0.0,0.17458329
5777,4.5,0.06,0.2,0.0,0.15198857
5778,4.5,0.06,0.21,0.0,0.13344662
5779,4.5,0.06,0.22,0.0,0.118452944
5780,4.5,0.06,0.23,0.0,0.106462665
5781,4.5,0.06,0.24,0.0,0.09695329
5782,4.5,0.06,0.25,0.0,0.08945882
5783,4.5,0.06,0.26,0.0,0.08358355
5784,4.5,0.06,0.27,0.0,0.079001345
5785,4.5,0.06,0.28,0.0,0.07544867
5786,4.5,0.06,0.29,0.0,0.07271539
5787,4.5,0.06,0.3,0.0,0.0706349
5788,4.5,0.06,0.31,0.0,0.069075406
5789,4.5,0.06,0.32,0.0,0.06793255
5790,4.5,0.06,0.33,0.0,0.06712373
5791,4.5,0.06,0.34,0.0,0.066583134
5792,4.5,0.06,0.35,0.0,0.06625821
5793,4.5,0.06,0.36,0.0,0.06610686
5794,4.5,0.06,0.37,0.0,0.066095226
5795,4.5,0.06,0.38,0.0,0.06619579
5796,4.5,0.06,0.39,0.0,0.06638634
5797,4.5,0.06,0.4,0.0,0.06664876
5798,4.5,0.06,0.41,0.0,0.06696813
5799,4.5,0.06,0.42,0.0,0.06733236
5800,4.5,0.06,0.43,0.0,0.06773151
5801,4.5,0.06,0.44,0.0,0.068157226
5802,4.5,0.06,0.45,0.0,0.06860284
5803,4.5,0.06,0.46,0.0,0.069062695
5804,4.5,0.06,0.47,0.0,0.0695322
5805,4.5,0.06,0.48,0.0,0.07000753
5806,4.5,0.06,0.49,0.0,0.07048553
5807,4.5,0.06,0.5,0.0,0.07096356
5808,4.5,0.06,0.51,0.0,0.0714396
5809,4.5,0.06,0.52,0.0,0.071911804
5810,4.5,0.06,0.53,0.0,0.07237879
